;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
256;9279;Dingolfing-Landau;110;96683;0.501;0.0289999999999999;700.1;100560.0;1.3
257;9361;Amberg;842;42207;0.474;0.042;589.8;66212.0;13.4
258;9362;Regensburg;1893;153094;0.5840000000000001;0.034;584.3;85263.0;18.6
259;9363;Weiden i.d.OPf.;606;42743;0.478;0.052;611.1;56544.0;16.6
260;9371;Amberg-Sulzbach;82;103049;0.46299999999999997;0.023;670.3;69744.0;1.9
261;9372;Cham;84;127998;0.472;0.025;678.9;62275.0;5.4
262;9373;Neumarkt i.d.OPf.;100;134573;0.496;0.017;652.2;76810.0;4.0
263;9374;Neustadt a.d.Waldnaab;66;94450;0.46699999999999997;0.0279999999999999;678.0;72448.0;2.0
264;9375;Regensburg;139;194070;0.49;0.019;641.6;71218.0;1.3
265;9376;Schwandorf;101;147872;0.483;0.0279999999999999;667.9;69495.0;3.7
266;9377;Tirschenreuth;66;72046;0.44999999999999996;0.03;666.0;71569.0;4.0
267;9461;Bamberg;1417;77373;0.5489999999999999;0.038;520.1;62356.0;13.2
268;9462;Bayreuth;1118;74783;0.5339999999999999;0.042;524.9;71911.0;18.6
269;9463;Coburg;851;41072;0.477;0.049;602.9;88589.0;12.4
270;9464;Hof;790;45825;0.477;0.0559999999999999;544.9;56156.0;10.0
271;9471;Bamberg;126;147163;0.486;0.021;676.9;70196.0;2.1
272;9472;Bayreuth;81;103664;0.449;0.026;679.2;64346.0;1.1
273;9473;Coburg;147;86747;0.4469999999999999;0.031;664.9;63391.0;1.1
274;9474;Forchheim;181;116203;0.478;0.024;661.2;76769.0;2.7
275;9475;Hof;106;94801;0.416;0.0289999999999999;658.7;67067.0;6.4
276;9476;Kronach;102;66743;0.42100000000000004;0.032;669.1;63850.0;4.2
277;9477;Kulmbach;109;71566;0.429;0.033;680.2;66883.0;8.0
